tip,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,altitude
Scleria_greigiifolia_SC075,202.3835616438,119.4794520548,63.7945205479,1875,290.7260273973,101.2739726027,189.4520547945,214.5479452055,176.9726027397,221.9589041096,175.2191780822,1220.1232876712,236.4109589041,11.7397260274,85.7123287671,645.8493150685,47.0821917808,397.0273972603,74.5890410959,1137.602739726
Scleria_hildebrandtii_SC137,262.75,97.25,66,1422,328.75,183,145.75,269.75,251.75,277,242,1271.25,343.75,5,102,798.25,36,381.75,67.75,98.5
Scleria_hilsenbergii_SC032,178.0740740741,118.3703703704,65,2318.3333333333,262.3703703704,81.7407407407,180.6296296296,201.1111111111,145.8888888889,201.2962962963,144.0740740741,1380.037037037,309.1111111111,15.5185185185,94.4444444444,821.4074074074,53.7037037037,799.8148148148,55.6666666667,1435.5185185185
Scleria_hirtella_SC445,227.7849462366,100.1290322581,66.311827957,1561.3924731183,302.3655913978,150.3279569892,152.0376344086,235,217.5483870968,245.5591397849,206.1344086022,1682.252688172,268.7956989247,45.3548387097,55.6182795699,717.9086021505,158.9247311828,413.2849462366,328.6774193548,438.0161290323
Scleria_hispidior_SC455,219,138.8,69.4,1352.8,324.2,124.8,199.4,206.4,221,238,205,1256.6,259.2,4.2,87.8,704.2,22,159.8,633,1376.8
Scleria_hispidula_SC439,197.7142857143,146.1428571429,72.2857142857,1243.2857142857,297.2857142857,96.2857142857,201,191.4285714286,190.5714285714,214.7142857143,182.8571428571,1073.5714285714,275.2857142857,3.5714285714,102.8571428571,673.7142857143,19.1428571429,183.1428571429,419.2857142857,1824.5714285714
Scleria_interrupta_SC318,246.5405405405,95.6081081081,69.3918918919,1117.6756756757,316.4324324324,179.3378378378,137.0945945946,245.9594594595,246.1081081081,259.0405405405,230.972972973,1727.2162162162,300.3513513514,32.0945945946,64.5405405405,781.1486486486,113.8378378378,338.8783783784,440.2837837838,251.6891891892
Scleria_iostephana_SC140,232.5890410959,112.8904109589,69.2602739726,1250.4383561644,313.6301369863,147.5890410959,166.0410958904,232.5479452055,221.5068493151,246.7123287671,215.4246575342,1424.9726027397,260.5068493151,15.602739726,73.8219178082,669.7671232877,67.8493150685,350.1232876712,259.9863013699,781.6438356164
Scleria_kerrii_SC102,231.3333333333,105.4166666667,60.8333333333,1779.1666666667,315.4166666667,135.6666666667,179.75,237.0833333333,210.6666666667,250.5,205.0833333333,1592.25,291.6666666667,21.5833333333,70.25,752.5,97.5,428.5833333333,220.25,787.4166666667
Scleria_lacustris_SC004,243.4358974359,107.5128205128,61.5641025641,2476.2820512821,327.3076923077,147.0769230769,180.2307692308,265.7692307692,217.7435897436,270.9743589744,209.0512820513,1454.717948718,261.2820512821,34.9743589744,65.2820512821,681.5384615385,126.8461538462,440.9743589744,279.9230769231,118.6923076923
